timestamp,j1,j2,j3,j4,j5,j6
1745821589441,-10.0022,-10.0001,-10,-10.0001,-9.99986,-10.0019
1745821589444,-10.0022,-10.0001,-10,-10.0001,-9.99986,-10.0019
1745821589491,-10.0022,-10.0001,-10,-10.0001,-9.99986,-10.0019
1745821589541,-10.0022,-10.0001,-10,-10.0001,-9.99986,-10.0019
1745821589591,-10.0022,-10.0001,-10,-10.0001,-9.99986,-10.0019
1745821589928,-10.0022,-10.0001,-10,-10.0001,-9.99986,-10.0019
1745821589930,-10.0022,-10.0001,-10,-10.0001,-9.99986,-10.0019
1745821589978,-10.0022,-10.0001,-10,-10.0001,-9.99986,-10.0019
1745821590028,-10.0016,-9.99968,-10.0001,-10.0001,-9.99986,-10.0019
1745821590078,-7.14426,-7.14259,-7.14293,-7.14292,-7.14274,-7.14453
1745821590128,-4.28688,-4.28549,-4.28578,-4.28577,-4.28562,-4.28711
1745821590178,-1.4295,-1.42839,-1.42862,-1.42862,-1.42849,-1.42968
1745821590228,1.42787,1.42871,1.42853,1.42854,1.42863,1.42774
1745821590278,4.28525,4.2858,4.28569,4.28569,4.28575,4.28516
1745821590328,7.14262,7.1429,7.14285,7.14285,7.14287,7.14258
1745821590378,10,10,10,10,10,10
1745821590428,10,10,10,10,10,10
1745821590478,10,10,10,10,10,10
1745821590528,10,10,10,10,10,10
1745821590578,10,10,10,10,10,10
1745821590628,10,10,10,10,10,10
1745821590678,10,10,10,10,10,10
1745821590728,10,10,10,10,10,10
1745821590778,10,10,10,10,10,10
1745821590828,10,10,10,10,10,10
1745821590878,10,10,10,10,10,10
1745821590928,10,10,10,10,10,10
1745821590978,10,10,10,10,10,10
1745821591028,10,10,10,10,10,10
1745821591078,9.66731,9.65903,9.67516,9.7657,9.75619,9.75897
1745821591128,6.38943,6.38252,6.39597,6.47142,6.46349,6.46581
1745821591178,3.11154,3.10602,3.11678,3.17713,3.17079,3.17265
1745821591228,-0.166345,-0.170486,-0.162418,-0.117149,-0.121906,-0.120516
1745821591278,-3.44423,-3.44699,-3.44161,-3.41143,-3.4146,-3.41368
1745821591328,-6.72212,-6.7235,-6.72081,-6.70572,-6.7073,-6.70684
1745821591378,-10,-10,-10,-10,-10,-10
1745821591428,-10,-10,-10,-10,-10,-10
1745821591478,-10,-10,-10,-10,-10,-10
1745821591528,-10,-10,-10,-10,-10,-10
1745821591578,-10,-10,-10,-10,-10,-10
1745821591628,-10,-10,-10,-10,-10,-10
1745821591678,-10,-10,-10,-10,-10,-10
1745821591728,-10,-10,-10,-10,-10,-10
1745821591778,-10,-10,-10,-10,-10,-10
1745821591828,-10,-10,-10,-10,-10,-10
1745821591879,-10,-10,-10,-10,-10,-10
1745821591929,-10,-10,-10,-10,-10,-10
1745821591979,-10,-10,-10,-10,-10,-10
1745821592029,-10,-10,-10,-10,-10,-10
1745821592079,-8.50202,-8.46124,-8.45773,-8.57746,-8.55891,-8.57298
1745821592129,-5.41835,-5.38436,-5.38144,-5.48122,-5.46576,-5.47749
1745821592179,-2.33468,-2.30749,-2.30515,-2.38497,-2.37261,-2.38199
1745821592229,0.748992,0.769382,0.771135,0.711268,0.720544,0.713509
1745821592279,3.83266,3.84625,3.84742,3.80751,3.8137,3.80901
1745821592329,6.91633,6.92313,6.92371,6.90376,6.90685,6.9045
1745821592379,10,10,10,10,10,10
1745821592431,10,10,10,10,10,10
1745821592479,10,10,10,10,10,10
1745821592529,10,10,10,10,10,10
1745821592579,10,10,10,10,10,10
1745821592653,10,10,10,10,10,10
1745821592679,10,10,10,10,10,10
1745821592729,10,10,10,10,10,10
1745821592779,10,10,10,10,10,10
1745821592829,10,10,10,10,10,10
1745821592879,10,10,10,10,10,10
1745821592929,10,10,10,10,10,10
1745821592979,10,10,10,10,10,10
1745821593029,10,10,10,10,10,10
1745821593079,7.68334,7.64921,7.67569,7.74227,7.71887,7.73522
1745821593129,4.73612,4.70768,4.72974,4.78523,4.76572,4.77935
1745821593185,1.78889,1.76614,1.7838,1.82818,1.81258,1.82348
1745821593229,-1.15833,-1.1754,-1.16215,-1.12886,-1.14057,-1.13239
1745821593308,-4.10555,-4.11693,-4.1081,-4.08591,-4.09371,-4.08826
1745821593334,-7.05278,-7.05847,-7.05405,-7.04295,-7.04686,-7.04413
1745821593383,-10,-10,-10,-10,-10,-10
1745821593432,-10,-10,-10,-10,-10,-10
1745821593481,-10,-10,-10,-10,-10,-10
1745821593556,-10,-10,-10,-10,-10,-10
1745821593579,-10,-10,-10,-10,-10,-10
1745821593682,-10,-10,-10,-10,-10,-10
1745821593704,-10,-10,-10,-10,-10,-10
1745821593753,-10,-10,-10,-10,-10,-10
1745821593800,-10,-10,-10,-10,-10,-10
1745821593848,-10,-10,-10,-10,-10,-10
1745821593896,-10,-10,-10,-10,-10,-10
1745821593968,-10,-10,-10,-10,-10,-10
1745821594016,-10,-10,-10,-10,-10,-10
1745821594065,-5.68602,-5.74605,-5.7193,-5.73635,-5.7185,-5.71889
1745821594114,-2.54881,-2.59684,-2.57544,-2.58908,-2.5748,-2.57511
1745821594163,0.588389,0.55237,0.56842,0.558189,0.568897,0.568668
1745821594211,3.72559,3.70158,3.71228,3.70546,3.7126,3.71245
1745821594333,6.8628,6.85079,6.85614,6.85273,6.8563,6.85622
1745821594383,10,10,10,10,10,10
1745821594432,10,10,10,10,10,10
1745821594456,10,10,10,10,10,10
1745821594530,10,10,10,10,10,10
1745821594581,10,10,10,10,10,10
1745821594677,10,10,10,10,10,10
1745821594702,10,10,10,10,10,10
1745821594751,10,10,10,10,10,10
1745821594798,10,10,10,10,10,10
1745821594846,10,10,10,10,10,10
1745821594895,10,10,10,10,10,10
1745821594943,10,10,10,10,10,10
1745821594992,10,10,10,10,10,10
1745821595041,10,10,10,10,10,10
1745821595090,7.76187,7.71312,7.74323,7.82856,7.80599,7.81916
1745821595138,4.80156,4.76094,4.78602,4.85713,4.83832,4.8493
1745821595186,1.84125,1.80875,1.82882,1.88571,1.87066,1.87944
1745821595235,-1.11907,-1.14344,-1.12839,-1.08572,-1.097,-1.09042
1745821595334,-4.07938,-4.09562,-4.08559,-4.05715,-4.06467,-4.06028
1745821595358,-7.03969,-7.04781,-7.04279,-7.02857,-7.03233,-7.03014
1745821595407,-10,-10,-10,-10,-10,-10
1745821595456,-10,-10,-10,-10,-10,-10
1745821595505,-10,-10,-10,-10,-10,-10
