timestamp,j1,j2,j3,j4,j5,j6
1745821589391,-10.0022,-10.0001,-10,-10.0001,-9.99986,-10.0019
1745821589394,-10.0021,-10.0001,-10,-9.99985,-9.99985,-10.0019
1745821589441,-10.0021,-10.0001,-10,-9.99985,-9.99985,-10.0019
1745821589491,-10.0022,-10.0002,-9.99991,-10.0001,-9.99986,-10.0019
1745821589541,-10.0022,-10.0001,-10,-10.0001,-9.99986,-10.0019
1745821589878,-10.0016,-9.99956,-10,-9.99985,-9.99985,-10.0019
1745821589880,-10.0016,-9.99956,-10,-9.99985,-9.99985,-10.0019
1745821589928,-10.0016,-9.99968,-10.0001,-10.0001,-9.99986,-10.0019
1745821589978,-10.0018,-9.99968,-9.99991,-10.0001,-10,-10.002
1745821590028,-9.99895,-10.0005,-10,-9.99985,-10.0002,-9.99897
1745821590078,-10.0022,-9.99936,-10,-9.99985,-9.99985,-10.0016
1745821590128,-10.0047,-9.99948,-10,-9.99962,-9.99983,-10.0015
1745821590178,-10.0035,-9.99948,-10.0001,-9.99985,-9.99985,-10.0013
1745821590228,-10.0023,-9.99948,-10.0001,-9.99962,-9.99996,-10.001
1745821590278,-10.0021,-9.99956,-9.99991,-9.99985,-9.99985,-10.0009
1745821590328,-10.0019,-9.99956,-10,-10.0001,-9.99986,-10.0013
1745821590378,-10.0019,-9.99956,-9.99991,-9.99962,-9.99983,-10.0013
1745821590428,-10.0018,-9.99968,-10,-9.99962,-9.99996,-10.0014
1745821590478,-10.0008,-9.99888,-10,-9.99985,-9.99998,-10.0014
1745821590528,-9.77136,-9.71596,-9.72055,-9.87866,-9.82375,-9.83471
1745821590578,-8.49833,-8.45374,-8.45738,-8.64636,-8.58646,-8.59588
1745821590628,-5.88256,-5.91566,-5.91749,-5.97279,-5.96014,-5.96706
1745821590678,-3.13306,-3.19883,-3.18451,-3.19553,-3.19734,-3.21484
1745821590728,-0.36836,-0.423976,-0.416478,-0.411759,-0.42378,-0.434227
1745821590778,2.62477,2.5775,2.58201,2.58259,2.57568,2.58451
1745821590828,5.38877,5.35175,5.35113,5.37048,5.34635,5.34601
1745821590878,8.15636,8.12639,8.14658,8.21045,8.20047,8.20255
1745821590928,9.66731,9.65903,9.67516,9.7657,9.75619,9.75897
1745821590978,10.0059,10.0207,10.0076,10.0321,10.0259,10.0325
1745821591028,10.01,10.0289,10.0117,10.0323,10.0218,10.0292
1745821591078,10.011,10.0195,10.0109,10.0319,10.0175,10.0258
1745821591128,10.0095,10.0218,10.0108,10.0319,10.0131,10.0228
1745821591178,10.0075,10.0095,10.0098,10.0314,10.0098,10.0205
1745821591228,10.0056,10.0096,10.0093,10.0306,10.0071,10.0178
1745821591278,10.004,10.0057,10.0084,10.0297,10.0053,10.0161
1745821591328,10.003,10.0029,10.0075,10.0293,10.0038,10.0145
1745821591378,10.0022,10.0034,10.0068,10.0283,10.0029,10.0129
1745821591428,10.0013,10.0013,10.0058,10.0273,10.0021,10.0117
1745821591478,10.0009,10.0012,10.0048,10.0262,10.0016,10.0101
1745821591528,10.0004,10.0011,10.0037,10.0246,10.0012,10.009
1745821591578,9.83847,9.82948,9.85347,9.92512,9.90878,9.89083
1745821591628,9.4474,9.42583,9.46629,9.61556,9.60234,9.59082
1745821591678,6.72083,6.67391,6.71108,6.84803,6.84906,6.84556
1745821591728,4.74687,4.68667,4.72443,4.78317,4.79348,4.78159
1745821591778,1.5944,1.53985,1.57584,1.58684,1.60279,1.60698
1745821591829,-1.58206,-1.64703,-1.60762,-1.61465,-1.58948,-1.58886
1745821591879,-5.00929,-5.04926,-5.03261,-5.06596,-5.04053,-5.04818
1745821591929,-8.50202,-8.46124,-8.45773,-8.57746,-8.55891,-8.57298
1745821591979,-9.76389,-9.7132,-9.71148,-9.82796,-9.81271,-9.81927
1745821592029,-10.0137,-10.0156,-10.0121,-10.0326,-10.0257,-10.0267
