timestamp,j1,j2,j3,j4,j5,j6
1745999451645,7.71422,7.71421,7.71428,7.71423,7.71431,7.71419
1745999451647,7.71422,7.71421,7.71428,7.71423,7.71431,7.71419
1745999451652,8.47614,8.47614,8.47618,8.47616,8.47621,8.47613
1745999451660,9.23807,9.23807,9.23809,9.23808,9.2381,9.23806
1745999451662,10,10,10,10,10,10
1745999451669,10,10,10,10,10,10
1745999451674,9.42857,9.42857,9.42857,9.42857,9.42857,9.42857
1745999451677,8.85714,8.85714,8.85714,8.85714,8.85714,8.85714
1745999451687,8.28571,8.28571,8.28571,8.28571,8.28571,8.28571
1745999451691,7.71429,7.71429,7.71429,7.71429,7.71429,7.71429
1745999451697,7.14286,7.14286,7.14286,7.14286,7.14286,7.14286
1745999451705,6.57143,6.57143,6.57143,6.57143,6.57143,6.57143
1745999451707,6,6,6,6,6,6
1745999451713,5.42857,5.42857,5.42857,5.42857,5.42857,5.42857
1745999451718,4.85714,4.85714,4.85714,4.85714,4.85714,4.85714
1745999451721,4.28571,4.28571,4.28571,4.28571,4.28571,4.28571
1745999451729,3.71429,3.71429,3.71429,3.71429,3.71429,3.71429
1745999451732,3.14286,3.14286,3.14286,3.14286,3.14286,3.14286
1745999451738,2.57143,2.57143,2.57143,2.57143,2.57143,2.57143
1745999451746,2,2,2,2,2,2
1745999451748,1.42857,1.42857,1.42857,1.42857,1.42857,1.42857
1745999451754,0.857142,0.857142,0.857142,0.857142,0.857142,0.857142
1745999451759,0.285714,0.285714,0.285714,0.285714,0.285714,0.285714
1745999451762,-0.285715,-0.285715,-0.285715,-0.285715,-0.285715,-0.285715
1745999451769,-0.857143,-0.857143,-0.857143,-0.857143,-0.857143,-0.857143
1745999451772,-1.42857,-1.42857,-1.42857,-1.42857,-1.42857,-1.42857
1745999451774,-2,-2,-2,-2,-2,-2
1745999451802,-2.57143,-2.57143,-2.57143,-2.57143,-2.57143,-2.57143
1745999451804,-3.14286,-3.14286,-3.14286,-3.14286,-3.14286,-3.14286
1745999451832,-3.71429,-3.71429,-3.71429,-3.71429,-3.71429,-3.71429
1745999451837,-4.28572,-4.28572,-4.28572,-4.28572,-4.28572,-4.28572
1745999451841,-4.85714,-4.85714,-4.85714,-4.85714,-4.85714,-4.85714
1745999451849,-5.42857,-5.42857,-5.42857,-5.42857,-5.42857,-5.42857
1745999451871,-6,-6,-6,-6,-6,-6
1745999451873,-6.57143,-6.57143,-6.57143,-6.57143,-6.57143,-6.57143
1745999451877,-7.14286,-7.14286,-7.14286,-7.14286,-7.14286,-7.14286
1745999451887,-7.71429,-7.71429,-7.71429,-7.71429,-7.71429,-7.71429
1745999451909,-8.28572,-8.28572,-8.28572,-8.28572,-8.28572,-8.28572
1745999451933,-8.85714,-8.85714,-8.85714,-8.85714,-8.85714,-8.85714
1745999451939,-9.42857,-9.42857,-9.42857,-9.42857,-9.42857,-9.42857
1745999451946,-10,-10,-10,-10,-10,-10
1745999451969,-10,-10,-10,-10,-10,-10
1745999451971,-9.42857,-9.42857,-9.42857,-9.42857,-9.42857,-9.42857
1745999451976,-8.85714,-8.85714,-8.85714,-8.85714,-8.85714,-8.85714
1745999451987,-8.28571,-8.28571,-8.28571,-8.28571,-8.28571,-8.28571
1745999452057,-7.71429,-7.71429,-7.71429,-7.71429,-7.71429,-7.71429
1745999452107,-7.14286,-7.14286,-7.14286,-7.14286,-7.14286,-7.14286
1745999452109,-6.57143,-6.57143,-6.57143,-6.57143,-6.57143,-6.57143
1745999452134,-6,-6,-6,-6,-6,-6
1745999452138,-5.42857,-5.42857,-5.42857,-5.42857,-5.42857,-5.42857
1745999452145,-4.85714,-4.85714,-4.85714,-4.85714,-4.85714,-4.85714
1745999452167,-4.28571,-4.28571,-4.28571,-4.28571,-4.28571,-4.28571
1745999452170,-3.71429,-3.71429,-3.71429,-3.71429,-3.71429,-3.71429
1745999452173,-3.14286,-3.14286,-3.14286,-3.14286,-3.14286,-3.14286
1745999452199,-2.57143,-2.57143,-2.57143,-2.57143,-2.57143,-2.57143
1745999452221,-2,-2,-2,-2,-2,-2
1745999452224,-1.42857,-1.42857,-1.42857,-1.42857,-1.42857,-1.42857
1745999452229,-0.857142,-0.857142,-0.857142,-0.857142,-0.857142,-0.857142
1745999452255,-0.285714,-0.285714,-0.285714,-0.285714,-0.285714,-0.285714
1745999452257,0.285715,0.285715,0.285715,0.285715,0.285715,0.285715
1745999452263,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143
1745999452287,1.42857,1.42857,1.42857,1.42857,1.42857,1.42857
1745999452290,2,2,2,2,2,2
1745999452298,2.57143,2.57143,2.57143,2.57143,2.57143,2.57143
1745999452303,3.14286,3.14286,3.14286,3.14286,3.14286,3.14286
1745999452327,3.71429,3.71429,3.71429,3.71429,3.71429,3.71429
1745999452331,4.28572,4.28572,4.28572,4.28572,4.28572,4.28572
1745999452341,4.85714,4.85714,4.85714,4.85714,4.85714,4.85714
1745999452344,5.42857,5.42857,5.42857,5.42857,5.42857,5.42857
1745999452348,6,6,6,6,6,6
1745999452355,6.57143,6.57143,6.57143,6.57143,6.57143,6.57143
1745999452358,7.14286,7.14286,7.14286,7.14286,7.14286,7.14286
1745999452409,7.71429,7.71429,7.71429,7.71429,7.71429,7.71429
1745999452416,8.28572,8.28572,8.28572,8.28572,8.28572,8.28572
1745999452419,8.85714,8.85714,8.85714,8.85714,8.85714,8.85714
1745999452429,9.42857,9.42857,9.42857,9.42857,9.42857,9.42857
1745999452432,10,10,10,10,10,10
1745999452457,10,10,10,10,10,10
1745999452460,9.42857,9.42857,9.42857,9.42857,9.42857,9.42857
1745999452468,8.85714,8.85714,8.85714,8.85714,8.85714,8.85714
1745999452473,8.28571,8.28571,8.28571,8.28571,8.28571,8.28571
1745999452522,7.71429,7.71429,7.71429,7.71429,7.71429,7.71429
1745999452547,7.14286,7.14286,7.14286,7.14286,7.14286,7.14286
1745999452573,6.57143,6.57143,6.57143,6.57143,6.57143,6.57143
1745999452599,6,6,6,6,6,6
1745999452601,5.42857,5.42857,5.42857,5.42857,5.42857,5.42857
1745999452629,4.85714,4.85714,4.85714,4.85714,4.85714,4.85714
1745999452636,4.28571,4.28571,4.28571,4.28571,4.28571,4.28571
1745999452659,3.71429,3.71429,3.71429,3.71429,3.71429,3.71429
1745999452661,3.14286,3.14286,3.14286,3.14286,3.14286,3.14286
1745999452689,2.57143,2.57143,2.57143,2.57143,2.57143,2.57143
1745999452694,2,2,2,2,2,2
1745999452698,1.42857,1.42857,1.42857,1.42857,1.42857,1.42857
1745999452707,0.857142,0.857142,0.857142,0.857142,0.857142,0.857142
