timestamp,j1,j2,j3,j4,j5,j6
1745999451634,7.71422,7.71421,7.71428,7.71423,7.71431,7.71419
1745999451636,7.71422,7.71421,7.71428,7.71423,7.71431,7.71419
1745999451641,7.71435,7.71421,7.71415,7.71423,7.71431,7.71419
1745999451649,7.71435,7.71421,7.71428,7.71423,7.71431,7.71419
1745999451651,7.71435,7.71433,7.71428,7.71423,7.71431,7.71419
1745999451658,7.71422,7.71421,7.71428,7.71446,7.71433,7.71421
1745999451663,7.71422,7.71433,7.71415,7.71423,7.71431,7.71456
1745999451666,7.71422,7.71433,7.71415,7.71423,7.71431,7.71456
1745999451676,7.71435,7.71421,7.71437,7.71423,7.71418,7.7145
1745999451680,7.71422,7.71433,7.71437,7.71423,7.71431,7.71419
1745999451686,7.71422,7.71421,7.71428,7.71423,7.71431,7.71456
1745999451694,7.71422,7.71433,7.71428,7.71423,7.71431,7.71419
1745999451696,7.71435,7.71433,7.71437,7.71446,7.71433,7.71421
1745999451702,7.71422,7.71433,7.71428,7.71446,7.71433,7.71421
1745999451707,7.71422,7.71433,7.71428,7.71423,7.71431,7.71456
1745999451710,7.71422,7.71433,7.71428,7.71423,7.71431,7.71456
1745999451718,7.71422,7.71433,7.71437,7.71423,7.71431,7.71456
1745999451721,7.71435,7.71421,7.71428,7.71423,7.71431,7.71456
1745999451727,7.71422,7.71433,7.71428,7.71423,7.71418,7.71412
1745999451735,7.71435,7.71433,7.71437,7.71423,7.71431,7.71419
1745999451737,7.71435,7.71433,7.71437,7.71423,7.71431,7.71419
1745999451743,7.71435,7.71421,7.71428,7.71423,7.71431,7.71419
1745999451748,7.71435,7.71433,7.71428,7.71423,7.71418,7.71412
1745999451751,7.71435,7.71433,7.71428,7.71423,7.71418,7.71412
1745999451758,7.71435,7.71433,7.71428,7.71423,7.71418,7.71412
1745999451761,7.71435,7.71421,7.71428,7.71423,7.71431,7.71456
1745999451763,7.71435,7.71433,7.71428,7.71423,7.71431,7.71456
1745999451791,7.71435,7.71421,7.71428,7.71423,7.71431,7.71419
1745999451793,7.71435,7.71421,7.71428,7.71423,7.71431,7.71419
1745999451821,7.71422,7.71413,7.71428,7.71423,7.71431,7.71419
1745999451826,7.71435,7.71433,7.71437,7.71423,7.71431,7.71419
1745999451830,7.71545,7.71581,7.71515,7.71423,7.71431,7.71456
1745999451838,7.7223,7.72563,7.71772,7.71561,7.71667,7.71643
1745999451860,7.84703,7.8792,7.84311,7.73209,7.77173,7.74908
1745999451862,7.84703,7.8792,7.84311,7.73209,7.77173,7.74908
1745999451866,7.88801,7.92102,7.88587,7.76035,7.8041,7.77579
1745999451876,7.99135,8.02387,7.99482,7.8558,7.89812,7.87533
1745999451898,8.51734,8.53946,8.51698,8.37879,8.42026,8.41323
1745999451922,9.16021,9.14403,9.17114,9.16157,9.18399,9.18161
1745999451928,9.26342,9.24311,9.27342,9.27944,9.30253,9.30279
1745999451935,9.45988,9.43385,9.46272,9.50203,9.51437,9.51983
1745999451958,9.83456,9.81404,9.84349,9.89285,9.90764,9.92212
1745999451960,9.8653,9.84748,9.87545,9.92558,9.93861,9.9522
1745999451965,9.8653,9.84748,9.87545,9.92558,9.93861,9.9522
1745999451976,9.90751,9.89351,9.91202,9.96586,9.97615,9.98754
1745999452046,8.33938,8.30274,8.34093,8.50193,8.43017,8.43914
1745999452096,6.01239,5.98971,5.99701,6.04488,6.01346,6.01635
1745999452098,5.80654,5.78318,5.79023,5.83832,5.80524,5.81121
1745999452123,4.56258,4.53178,4.54651,4.57912,4.55638,4.56412
1745999452127,4.56258,4.53178,4.54651,4.57912,4.55638,4.56412
1745999452134,3.93764,3.90997,3.92426,3.94569,3.93171,3.94085
1745999452156,2.90639,2.87826,2.89246,2.89444,2.89031,2.90057
