timestamp,j1,j2,j3,j4,j5,j6
1746177985063,-5.48434,-5.4847,-5.4837,-5.48378,-5.48359,-5.48745
1746177985065,-5.48434,-5.4847,-5.4837,-5.48378,-5.48359,-5.48745
1746177985072,-5.48434,-5.4847,-5.4837,-5.48378,-5.48359,-5.48745
1746177985076,-5.35742,-5.35778,-5.35679,-5.35686,-5.35668,-5.36051
1746177985079,-5.23049,-5.23086,-5.22987,-5.22995,-5.22976,-5.23356
1746177985081,-5.10357,-5.10393,-5.10296,-5.10303,-5.10285,-5.10661
1746177985087,-4.97665,-4.97701,-4.97604,-4.97612,-4.97593,-4.97967
1746177985095,-4.84973,-4.85009,-4.84913,-4.8492,-4.84902,-4.85272
1746177985096,-4.72281,-4.72316,-4.72221,-4.72228,-4.72211,-4.72577
1746177985099,-4.59589,-4.59624,-4.59529,-4.59537,-4.59519,-4.59883
1746177985106,-4.46897,-4.46931,-4.46838,-4.46845,-4.46828,-4.47188
1746177985112,-4.34205,-4.34239,-4.34146,-4.34153,-4.34136,-4.34494
1746177985114,-4.21513,-4.21547,-4.21455,-4.21462,-4.21445,-4.21799
1746177985118,-4.08821,-4.08854,-4.08763,-4.0877,-4.08753,-4.09104
1746177985122,-3.96129,-3.96162,-3.96072,-3.96079,-3.96062,-3.9641
1746177985128,-3.83437,-3.83469,-3.8338,-3.83387,-3.8337,-3.83715
1746177985130,-3.70745,-3.70777,-3.70689,-3.70695,-3.70679,-3.7102
1746177985134,-3.58052,-3.58085,-3.57997,-3.58004,-3.57987,-3.58326
1746177985473,-3.4536,-3.45392,-3.45305,-3.45312,-3.45296,-3.45631
1746177985478,-3.32668,-3.327,-3.32614,-3.3262,-3.32604,-3.32937
1746177985480,-3.19976,-3.20008,-3.19922,-3.19929,-3.19913,-3.20242
1746177985485,-3.07284,-3.07315,-3.07231,-3.07237,-3.07221,-3.07547
1746177985492,-2.94592,-2.94623,-2.94539,-2.94546,-2.9453,-2.94853
1746177985495,-2.819,-2.8193,-2.81848,-2.81854,-2.81839,-2.82158
1746177985498,-2.69208,-2.69238,-2.69156,-2.69162,-2.69147,-2.69463
1746177985506,-2.56516,-2.56546,-2.56464,-2.56471,-2.56456,-2.56769
1746177985512,-2.43824,-2.43853,-2.43773,-2.43779,-2.43764,-2.44074
1746177985515,-2.31132,-2.31161,-2.31081,-2.31087,-2.31073,-2.31379
1746177985517,-2.1844,-2.18469,-2.1839,-2.18396,-2.18381,-2.18685
1746177985523,-2.05748,-2.05776,-2.05698,-2.05704,-2.0569,-2.0599
1746177985529,-1.93055,-1.93084,-1.93007,-1.93013,-1.92998,-1.93296
1746177985531,-1.80363,-1.80391,-1.80315,-1.80321,-1.80307,-1.80601
1746177985534,-1.67671,-1.67699,-1.67624,-1.67629,-1.67615,-1.67906
1746177985541,-1.54979,-1.55007,-1.54932,-1.54938,-1.54924,-1.55212
1746177985563,-1.42287,-1.42314,-1.4224,-1.42246,-1.42232,-1.42517
1746177985589,-1.29595,-1.29622,-1.29549,-1.29554,-1.29541,-1.29822
1746177985591,-1.16903,-1.16929,-1.16857,-1.16863,-1.16849,-1.17128
1746177985616,-1.04211,-1.04237,-1.04166,-1.04171,-1.04158,-1.04433
1746177985641,-0.915188,-0.915447,-0.914742,-0.914796,-0.914664,-0.917385
1746177985643,-0.788267,-0.788524,-0.787826,-0.78788,-0.78775,-0.790438
1746177985668,-0.661346,-0.6616,-0.660911,-0.660964,-0.660835,-0.663492
1746177985671,-0.534426,-0.534676,-0.533995,-0.534048,-0.53392,-0.536546
1746177985675,-0.407505,-0.407752,-0.40708,-0.407131,-0.407005,-0.409599
1746177985698,-0.280584,-0.280828,-0.280164,-0.280215,-0.280091,-0.282653
1746177985700,-0.153663,-0.153904,-0.153248,-0.153299,-0.153176,-0.155706
1746177985725,-0.0267425,-0.0269804,-0.0263329,-0.0263824,-0.0262613,-0.02876
1746177985728,0.100178,0.0999432,0.100583,0.100534,0.100653,0.098186
1746177985752,0.227099,0.226867,0.227499,0.22745,0.227568,0.225132
1746177985755,0.35402,0.353791,0.354414,0.354366,0.354483,0.352079
1746177985779,0.480941,0.480715,0.48133,0.481282,0.481398,0.479025
1746177985781,0.607862,0.607638,0.608245,0.608199,0.608312,0.605972
1746177985806,0.734782,0.734562,0.735161,0.735115,0.735227,0.732918
1746177985809,0.861703,0.861486,0.862077,0.862031,0.862142,0.859864
1746177985811,0.988624,0.98841,0.988992,0.988947,0.989056,0.986811
1746177985837,1.11554,1.11533,1.11591,1.11586,1.11597,1.11376
1746177985839,1.24247,1.24226,1.24282,1.24278,1.24289,1.2407
1746177985841,1.36939,1.36918,1.36974,1.3697,1.3698,1.36765
1746177985868,1.49631,1.49611,1.49665,1.49661,1.49672,1.4946
1746177985870,1.62323,1.62303,1.62357,1.62353,1.62363,1.62154
1746177985894,1.75015,1.74995,1.75049,1.75044,1.75054,1.74849
1746177985919,1.87707,1.87688,1.8774,1.87736,1.87746,1.87543
