timestamp,j1,j2,j3,j4,j5,j6
1746177632589,1.32077,1.32081,1.32076,1.32088,1.32066,1.32063
1746177632604,1.32077,1.32073,1.32076,1.32065,1.32085,1.32071
1746177632620,1.32077,1.32073,1.32076,1.32065,1.32065,1.32061
1746177632637,1.32077,1.32081,1.32076,1.32088,1.32086,1.32073
1746177632651,1.32077,1.32081,1.32076,1.32065,1.32065,1.32098
1746177632664,1.32077,1.32081,1.32076,1.32065,1.32085,1.32071
1746177632676,1.32077,1.32081,1.32076,1.32088,1.32086,1.3211
1746177632688,1.32055,1.32081,1.32076,1.32088,1.32086,1.32085
1746177632704,1.3209,1.32093,1.32076,1.32065,1.32085,1.32083
1746177632719,1.32077,1.32081,1.32076,1.32065,1.32065,1.32073
1746177632731,1.32077,1.32081,1.32076,1.32088,1.32066,1.32075
1746177632743,1.3209,1.32073,1.32076,1.32088,1.32066,1.32075
1746177632755,1.32069,1.32093,1.32076,1.32065,1.32065,1.32073
1746177632767,1.32077,1.32073,1.32076,1.32065,1.32065,1.32061
1746177632780,1.32077,1.32109,1.32098,1.32065,1.32085,1.32071
1746177632795,1.33658,1.34546,1.33257,1.32111,1.324,1.32393
1746177632810,1.38551,1.41539,1.38663,1.32294,1.34224,1.33538
1746177632823,1.52566,1.56479,1.53905,1.40316,1.44863,1.42455
1746177632836,1.70692,1.74418,1.71487,1.57654,1.62334,1.60668
1746177632848,1.97615,2.00653,1.9778,1.84307,1.88732,1.87351
1746177632860,2.33547,2.35777,2.33194,2.19818,2.239,2.23141
1746177632872,2.77963,2.79734,2.77235,2.63855,2.67772,2.66442
1746177632884,3.30971,3.3204,3.2996,3.17528,3.20363,3.19884
1746177632896,3.90439,3.90364,3.89195,3.79601,3.81093,3.80674
1746177632908,4.54409,4.52733,4.52693,4.46548,4.47484,4.47337
1746177632920,5.22257,5.19232,5.20338,5.16655,5.16804,5.16369
1746177632932,5.9155,5.88129,5.89813,5.87013,5.86812,5.86981
1746177632944,6.60637,6.56954,6.59219,6.57223,6.56703,6.56354
