timestamp,j1,j2,j3,j4,j5,j6
1746179154109,-2.9561,-2.95592,-2.95593,-2.95601,-2.95601,-2.95595
1746179154124,-2.9561,-2.956,-2.95593,-2.95601,-2.95588,-2.956
1746179154137,-2.95588,-2.95592,-2.95593,-2.95601,-2.95601,-2.95607
1746179154151,-2.95602,-2.956,-2.95593,-2.95601,-2.95601,-2.95595
1746179154165,-2.95602,-2.956,-2.95602,-2.95601,-2.95601,-2.95607
1746179154179,-2.95602,-2.956,-2.95602,-2.95601,-2.95601,-2.95607
1746179154193,-2.95588,-2.956,-2.95593,-2.95601,-2.95601,-2.95595
1746179154207,-2.95588,-2.956,-2.95593,-2.95601,-2.95601,-2.95607
1746179154222,-2.95602,-2.95592,-2.95593,-2.95601,-2.95601,-2.95595
1746179154234,-2.95588,-2.95584,-2.95593,-2.95601,-2.95601,-2.95607
1746179154247,-2.9558,-2.95592,-2.95602,-2.95601,-2.95601,-2.95607
1746179154259,-2.95602,-2.95592,-2.95593,-2.95601,-2.95601,-2.95595
1746179154270,-2.95602,-2.95584,-2.95602,-2.95601,-2.95601,-2.95595
1746179154283,-2.95602,-2.95592,-2.95593,-2.95601,-2.95588,-2.95588
1746179154297,-2.9558,-2.95592,-2.95602,-2.95601,-2.95601,-2.95595
1746179154313,-2.95588,-2.95584,-2.95593,-2.95601,-2.95601,-2.95595
1746179154324,-2.94829,-2.94165,-2.95149,-2.95532,-2.95404,-2.95443
1746179154337,-2.91803,-2.89105,-2.91561,-2.95395,-2.94724,-2.94872
1746179154350,-2.85965,-2.82661,-2.85217,-2.93701,-2.90673,-2.92096
1746179154363,-2.78618,-2.76876,-2.78272,-2.84489,-2.81925,-2.83595
1746179154377,-2.65007,-2.65003,-2.65795,-2.69531,-2.66538,-2.68455
1746179154390,-2.52819,-2.53195,-2.53196,-2.56691,-2.5411,-2.56376
1746179154405,-2.36586,-2.36667,-2.36503,-2.38987,-2.37642,-2.39634
1746179154420,-2.242,-2.24237,-2.24282,-2.26398,-2.25212,-2.27317
1746179154435,-2.07945,-2.07698,-2.07336,-2.09816,-2.08705,-2.10307
1746179154446,-1.95665,-1.95424,-1.95125,-1.9717,-1.96372,-1.97461
1746179154458,-1.83249,-1.83259,-1.83044,-1.8449,-1.83982,-1.84485
1746179154470,-1.71039,-1.71102,-1.70785,-1.72062,-1.71578,-1.71525
1746179154482,-1.5875,-1.58993,-1.58709,-1.59828,-1.59327,-1.59251
1746179154494,-1.46426,-1.46732,-1.46606,-1.47903,-1.46919,-1.47124
1746179154506,-1.34229,-1.34382,-1.34212,-1.35899,-1.34605,-1.3514
1746179154519,-1.21901,-1.21952,-1.21756,-1.23024,-1.22321,-1.23207
1746179154533,-1.0547,-1.05413,-1.05177,-1.06167,-1.05794,-1.06712
1746179154548,-0.931375,-0.930149,-0.927778,-0.938416,-0.934966,-0.940477
1746179154560,-0.766981,-0.766757,-0.764683,-0.772247,-0.771664,-0.775368
1746179154572,-0.645058,-0.644344,-0.643354,-0.641785,-0.648034,-0.649195
1746179154585,-0.521818,-0.522452,-0.521458,-0.516815,-0.524604,-0.522499
1746179154597,-0.399412,-0.399798,-0.399606,-0.3899,-0.40216,-0.398454
1746179154609,-0.275776,-0.276823,-0.276664,-0.268135,-0.278564,-0.277313
1746179154621,-0.193689,-0.194185,-0.194266,-0.1894,-0.196896,-0.196695
